DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
30-07-1996;00:00:01;0;2467,2;2457,5;2453,8;2467,2
31-07-1996;00:00:01;0;2471,2;2473,4;2468,4;2474,8
01-08-1996;00:00:01;0;2492,2;2494,5;2491;2495,5
02-08-1996;00:00:01;0;2506,7;2508,7;2505,5;2511
05-08-1996;00:00:01;0;2517,2;2520,9;2517,2;2524,9
06-08-1996;00:00:01;0;2515,2;2522,5;2515,2;2523,7
07-08-1996;00:00:01;0;2529,5;2531,9;2528,3;2534,1
08-08-1996;00:00:01;0;2539,8;2538,2;2536,9;2543,6
09-08-1996;00:00:01;0;2527,3;2525,6;2521,8;2530,4
12-08-1996;00:00:01;0;2530,8;2528,2;2525,8;2530,8
13-08-1996;00:00:01;0;2536;2539,4;2535,8;2540,2
14-08-1996;00:00:01;0;2543,6;2538,7;2536,7;2543,8
15-08-1996;00:00:01;0;2546;2546,3;2546;2552,7
16-08-1996;00:00:01;0;2549,3;2548,4;2546,7;2552,9
19-08-1996;00:00:01;0;2562,5;2562,8;2559,2;2567,2
20-08-1996;00:00:01;0;2561,1;2560,3;2558,9;2565,4
21-08-1996;00:00:01;0;2546,7;2543,7;2541,8;2547,4
22-08-1996;00:00:01;0;2542,5;2557,3;2536;2557,3
23-08-1996;00:00:01;0;2556,9;2555,2;2555,1;2561,8
26-08-1996;00:00:01;0;2550,3;2552,4;2547,5;2554,1
27-08-1996;00:00:01;0;2550,5;2558,8;2550,5;2560
28-08-1996;00:00:01;0;2568,2;2563,2;2563;2571,7
29-08-1996;00:00:01;0;2557,1;2560,1;2555,7;2562,1
30-08-1996;00:00:01;0;2546,1;2543,8;2536,6;2546,1
02-09-1996;00:00:01;0;2540,8;2532,9;2530;2540,8
03-09-1996;00:00:01;0;2524,1;2510,8;2510,3;2526,2
04-09-1996;00:00:01;0;2531;2532,4;2527,7;2536,2
05-09-1996;00:00:01;0;2531,1;2529,5;2526,2;2533,7
06-09-1996;00:00:01;0;2525,7;2517;2515,1;2525,7
09-09-1996;00:00:01;0;2543,9;2548,7;2534,9;2548,9
10-09-1996;00:00:01;0;2561,3;2570,1;2561,3;2571,1
11-09-1996;00:00:01;0;2567,3;2566,8;2565,6;2570,9
12-09-1996;00:00:01;0;2568,5;2570,3;2565;2573,6
13-09-1996;00:00:01;0;2585;2596;2585;2597,7
16-09-1996;00:00:01;0;2611,4;2629,9;2611,4;2630,3
17-09-1996;00:00:01;0;2628,7;2628,1;2622,7;2629,9
18-09-1996;00:00:01;0;2626,3;2625,7;2624,9;2631
19-09-1996;00:00:01;0;2621,3;2624,4;2620,9;2624,9
20-09-1996;00:00:01;0;2639,9;2646,1;2637,7;2650,5
23-09-1996;00:00:01;0;2633,3;2627;2625,6;2633,3
24-09-1996;00:00:01;0;2633,8;2638,5;2633,2;2639,3
25-09-1996;00:00:01;0;2650,8;2659;2649,4;2659,7
26-09-1996;00:00:01;0;2661,9;2666,6;2661,9;2672,6
27-09-1996;00:00:01;0;2664,9;2659;2655,4;2664,9
30-09-1996;00:00:01;0;2655,2;2651,9;2643,5;2655,2
01-10-1996;00:00:01;0;2647,5;2655,7;2645,9;2658,5
02-10-1996;00:00:01;0;2668,9;2676,5;2668,6;2680,1
04-10-1996;00:00:01;0;2676,1;2683,3;2675,2;2683,3
07-10-1996;00:00:01;0;2698;2702,6;2696,5;2704,7
08-10-1996;00:00:01;0;2696,1;2691,2;2689,6;2700,3
09-10-1996;00:00:01;0;2695,7;2703;2692,7;2703,4
10-10-1996;00:00:01;0;2690,3;2680,8;2679,3;2690,3
11-10-1996;00:00:01;0;2686,3;2686;2683,3;2688,3
14-10-1996;00:00:01;0;2690;2693,9;2689,6;2695,8
15-10-1996;00:00:01;0;2711,2;2728,5;2711,2;2728,6
16-10-1996;00:00:01;0;2727,5;2714,9;2712,4;2727,5
17-10-1996;00:00:01;0;2717,5;2716,3;2713,1;2719,9
18-10-1996;00:00:01;0;2732,3;2734,8;2728,6;2739,3
21-10-1996;00:00:01;0;2734,2;2729;2724,2;2735,1
22-10-1996;00:00:01;0;2722,1;2719;2716,6;2723,5
23-10-1996;00:00:01;0;2724,6;2699,5;2696,9;2725,7
24-10-1996;00:00:01;0;2685,7;2678,4;2674,3;2685,7
25-10-1996;00:00:01;0;2663,3;2674,2;2663,3;2678,9
28-10-1996;00:00:01;0;2694,7;2703,8;2694,7;2709,6
29-10-1996;00:00:01;0;2689,5;2673,6;2672,3;2689,5
30-10-1996;00:00:01;0;2684,3;2678,7;2678,7;2691,6
31-10-1996;00:00:01;0;2678;2659,3;2656,5;2678,6
01-11-1996;00:00:01;0;2675,4;2683,3;2675,4;2685,7
04-11-1996;00:00:01;0;2673,8;2671,9;2665,9;2673,8
05-11-1996;00:00:01;0;2674,8;2691,3;2674,8;2691,3
06-11-1996;00:00:01;0;2719,2;2729,2;2719,2;2732,6
07-11-1996;00:00:01;0;2727,1;2713,2;2704;2731,6
